wgt,female,age,educ,inc_q,emp_in,urbanicity,account_fin,account_mob,account,dig_account,borrowed,saved,receive_wages,receive_transfers,receive_pensions,receive_agriculture,merchantpay_dig,pay_utilities,domestic_remittances,anydigpayment,fin2,fin17a,fin17c,fin19,fin20,fin22a,fin22b,fin22d,fin22e,fin22f,fin24,fin24a,fin24b,fin24c,fh1,fh2,fh2a,fin30,fin32,fin37,fin38,fin42,fin45,internet_use,con1,con24
0.416087983,1,64,1,1,2,1,1,0,1,0,1,0,4,1,4,2,0,2,3,1,2,2,2,2,2,2,2,2,2,1,2,1,5,2,2,2,2,1,2,1,2,1,3,0,2,2
0.270666628,1,59,1,4,2,1,1,0,1,0,1,0,4,1,4,4,0,4,3,1,1,2,2,2,2,2,1,1,2,1,2,1,5,2,2,2,2,2,2,1,2,2,3,0,1,2
2.317621967,2,48,1,2,1,1,1,0,1,1,1,1,2,4,4,4,0,2,1,1,1,1,1,2,2,2,1,2,2,1,5,1,1,1,2,1,1,1,1,2,2,2,4,0,2,2
0.676820899,1,45,3,5,1,1,1,0,1,0,0,0,1,4,4,4,0,1,3,1,1,2,2,2,2,2,2,2,2,2,2,1,4,1,2,2,2,1,1,2,2,2,7,1,1,1
2.499592107,2,39,2,3,1,1,1,0,1,0,1,1,2,1,4,4,0,4,3,1,2,1,2,2,2,2,2,1,2,1,4,2,1,1,2,2,2,2,1,1,2,2,1,0,1,2
0.456706767,2,18,2,2,1,2,1,0,1,1,0,1,2,1,4,4,1,1,3,1,1,2,2,2,2,2,2,2,2,2,2,1,3,2,2,2,2,1,1,1,2,2,4,1,1,1
1.244345565,1,44,2,5,1,1,1,0,1,1,1,0,1,4,4,4,0,2,2,1,1,2,2,2,2,1,1,1,2,2,3,1,1,2,2,1,2,1,1,2,2,2,1,0,1,2
1.26092068,2,28,2,5,1,1,1,0,1,1,1,1,1,4,4,4,0,4,1,1,1,1,2,2,2,1,2,2,1,1,5,1,4,2,1,1,1,2,1,2,2,2,5,1,1,1
1.672779675,2,37,1,4,1,2,1,0,1,0,1,0,1,4,4,4,0,2,1,1,1,2,2,1,2,1,1,1,2,1,1,1,4,2,2,1,2,1,1,2,2,2,5,0,1,2
1.485578134,1,38,2,4,1,2,1,0,1,0,1,0,4,4,4,4,0,4,2,0,1,2,2,2,2,2,2,2,2,1,2,1,1,2,2,1,2,2,2,2,2,2,3,1,1,1
0.677632528,1,73,1,3,2,1,1,0,1,0,0,0,4,4,4,4,0,4,3,0,2,2,2,2,2,2,2,2,2,2,7,,1,2,2,2,2,2,2,2,2,2,3,0,2,2
1.147751801,2,58,2,2,1,2,1,0,1,0,0,0,4,1,4,4,0,2,3,1,2,2,2,2,2,2,2,2,2,2,3,1,4,2,2,2,2,1,2,1,2,2,2,0,2,2
1.155756194,1,56,2,1,2,2,0,0,0,0,1,0,4,4,4,4,0,2,3,0,2,2,2,2,2,2,2,2,1,2,4,2,4,1,2,2,2,1,2,2,2,2,1,0,2,2
0.587727764,1,64,1,2,2,1,1,0,1,0,0,1,4,3,4,4,0,2,3,0,2,1,2,2,2,2,2,2,2,2,7,,3,2,2,2,2,1,2,1,2,2,5,0,2,2
0.523397127,1,30,2,5,2,2,1,0,1,1,0,1,4,4,4,4,0,1,3,0,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2
0.957398109,2,41,2,3,1,2,1,0,1,0,1,0,2,4,4,4,0,2,3,0,1,2,2,2,2,2,1,2,2,1,4,1,1,2,2,2,2,1,1,2,2,2,4,0,1,2
0.900380476,1,38,2,2,2,1,1,0,1,0,0,0,4,4,4,4,0,2,3,0,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,2,1,2,2,2,2,4,1,1,2
3.115103982,1,33,2,1,2,1,1,0,1,0,0,0,4,4,4,2,0,4,3,0,2,2,2,2,2,2,2,2,2,2,1,2,3,1,2,2,2,2,2,2,2,1,6,0,1,2
1.997440781,1,30,2,5,2,1,1,0,1,0,1,1,4,4,4,4,0,2,3,0,2,2,1,2,2,2,1,2,2,1,5,1,3,2,2,2,2,1,2,2,2,2,4,0,1,2
1.086445538,1,42,2,4,2,2,1,0,1,0,1,1,4,4,4,4,0,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,4,1,1,1
0.183241411,1,49,2,4,2,1,1,0,1,0,1,0,4,2,4,4,0,2,3,0,2,2,2,2,2,1,2,1,2,1,2,1,4,2,2,2,2,1,2,1,2,2,4,0,1,2
1.0236398,1,19,2,5,2,1,1,0,1,0,1,1,4,2,4,4,1,4,3,1,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,5,1,1,1
0.18611483,1,69,1,4,1,2,1,0,1,0,1,0,4,4,1,4,0,2,3,1,2,2,2,2,2,1,2,2,2,1,5,1,4,2,2,2,2,1,2,2,1,2,4,0,2,2
0.232290097,1,77,1,4,2,2,1,0,1,0,1,0,4,1,4,4,0,4,3,1,2,2,2,2,2,2,2,2,2,1,2,1,1,1,2,2,2,2,2,1,2,2,1,0,2,2
0.425260049,2,59,2,2,1,1,1,0,1,0,1,1,4,1,4,2,0,2,2,1,2,1,2,1,2,1,2,2,2,1,3,2,2,2,1,2,2,1,2,1,2,1,3,0,1,2
2.376325476,2,54,1,5,1,2,1,0,1,1,1,1,1,4,4,4,0,4,1,1,1,1,2,2,2,2,2,2,2,1,4,2,4,2,1,1,2,2,1,2,2,2,4,1,1,1
1.636410275,2,22,2,5,1,2,1,0,1,1,0,1,1,4,4,4,1,4,3,1,1,1,2,2,2,2,2,2,2,2,6,2,3,2,2,2,2,2,1,2,2,2,6,1,1,1
